generation;evaluationTime;orderTime;fusionTime;totalTime;correlation;acuracy;acuracyAvarange;acuracyVariace
1;435254;996;318;435254;0;915286;0;0
2;436146;928;309;436146;0;454369;0;0
3;420259;859;279;420259;0;454369;0;0
4;386900;900;278;386900;0;454369;0;0
5;389536;745;220;389536;0;454369;0;0
6;418592;652;204;418592;0;454369;0;0
7;437211;679;189;437211;0;218782;0;0
8;411461;865;268;411461;0;218782;0;0
9;397349;852;275;397349;0;218782;0;0
10;467407;1267;383;467407;0;218782;0;0
11;396547;2262;345;396547;0;218782;0;0
12;487244;859;320;487244;0;218782;0;0
13;453658;831;320;453658;0;218782;0;0
14;450115;915;331;450115;0;218782;0;0
15;451985;843;302;451985;0;162301;0;0
16;442354;620;193;442354;0;162301;0;0
17;429184;917;317;429184;0;148202;0;0
18;435473;901;321;435473;0;148202;0;0
19;406740;930;324;406740;0;148202;0;0
20;453441;642;197;453441;0;148202;0;0
21;435240;2281;507;435240;0;148202;0;0
22;421810;832;274;421810;0;148202;0;0
23;422341;923;298;422341;0;148202;0;0
